,,Codigo,Nome,CNPJ
[IRDM11](https://fiibrasil.com/fundo/IRDM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/IRDM11-FII-IRIDIUM.jpg)</span>",IRDM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,28.830.325/0001-10
[IRIM11](https://fiibrasil.com/fundo/IRIM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/IRIM11.jpg)</span>",IRIM11,IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.564/0001-95
[ITIP11](https://fiibrasil.com/fundo/ITIP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ITIP11.jpg)</span>",ITIP11,INTER TEVA ÍNDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.312.772/0001-06
[ITIT11](https://fiibrasil.com/fundo/ITIT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ITIT11-INTER-TEVA-INDICE-DE-TIJOLO.jpg)</span>",ITIT11,INTER TEVA ÍNDICE DE TIJOLO FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.293.425/0001-83
[JASC11](https://fiibrasil.com/fundo/JASC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JASC11.jpg)</span>",JASC11,JASC RENDA VAREJO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.886.241/0001-02
[JBFO11](https://fiibrasil.com/fundo/JBFO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JBFO11.jpg)</span>",JBFO11,JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.615.915/0001-59
[JCDA11](https://fiibrasil.com/fundo/JCDA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JCDA11.jpg)</span>",JCDA11,JACARANDÁ I FUNDO DE INVESTIMENTO IMOBILIARIO,31.772.231/0001-47
[JCDB11](https://fiibrasil.com/fundo/JCDB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JCDB11.jpg)</span>",JCDB11,JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.542/0001-44
[JFLL11](https://fiibrasil.com/fundo/JFLL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JFLL11.jpg)</span>",JFLL11,JFL LIVING FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.181/0001-87
[JPPA11](https://fiibrasil.com/fundo/JPPA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JPPA11.jpg)</span>",JPPA11,JPP CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.982.880/0001-00
[JPPC11](https://fiibrasil.com/fundo/JPPC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JPPC11.jpg)</span>",JPPC11,JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.216.625/0001-98
[JRDM11](https://fiibrasil.com/fundo/JRDM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JRDM11.jpg)</span>",JRDM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING JARDIM SUL,14.879.856/0001-93
[JSAF11](https://fiibrasil.com/fundo/JSAF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JSAF11.jpg)</span>",JSAF11,JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.085.661/0001-07
[JSRE11](https://fiibrasil.com/fundo/JSRE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JSRE11-JS-REAL-ESTATE-MULTIGESTAO.jpg)</span>",JSRE11,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,13.371.132/0001-71
[JTPR11](https://fiibrasil.com/fundo/JTPR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/JTPR11.jpg)</span>",JTPR11,JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB,23.876.086/0001-16
[KCRE11](https://fiibrasil.com/fundo/KCRE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KCRE11.jpg)</span>",KCRE11,KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.502.802/0001-40
[KEVE11](https://fiibrasil.com/fundo/KEVE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KEVE11.jpg)</span>",KEVE11,EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.317.313/0001-64
[KFOF11](https://fiibrasil.com/fundo/KFOF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KFOF11-FUNDO-DE-KINEA.jpg)</span>",KFOF11,FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,30.091.444/0001-40
[KINP11](https://fiibrasil.com/fundo/KINP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KINP11.jpg)</span>",KINP11,EVEN PERMUTA KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.070.076/0001-51
[KISU11](https://fiibrasil.com/fundo/KISU11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KISU11-KILIMA-FIC-SUNO30.jpg)</span>",KISU11,KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS SUNO 30,36.669.660/0001-07
[KIVO11](https://fiibrasil.com/fundo/KIVO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KIVO11.jpg)</span>",KIVO11,KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.273.325/0001-98
[KNCR11](https://fiibrasil.com/fundo/KNCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNCR11-Kinea-Rendimentos-Imobiliarios.jpg)</span>",KNCR11,KINEA RENDIMENTOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.706.958/0001-32
[KNHF11](https://fiibrasil.com/fundo/KNHF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNHF11.jpg)</span>",KNHF11,KINEA HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.754.342/0001-47
[KNHY11](https://fiibrasil.com/fundo/KNHY11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNHY11-KYNEA-HIGH-YIELD-CRI.jpg)</span>",KNHY11,KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.130.708/0001-28
[KNIP11](https://fiibrasil.com/fundo/KNIP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNIP11-KINEA-INDICE-DE-PRECOS.jpg)</span>",KNIP11,KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.960.430/0001-13
[KNPR11](https://fiibrasil.com/fundo/KNPR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNPR11.jpg)</span>",KNPR11,KINEA PREMIUM PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.737.059/0001-07
[KNRE11](https://fiibrasil.com/fundo/KNRE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNRE11.jpg)</span>",KNRE11,KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.423.780/0001-97
[KNRI11](https://fiibrasil.com/fundo/KNRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNRI11-Kinea-Renda-Imobiliaria.jpg)</span>",KNRI11,KINEA RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.005.956/0001-65
[KNSC11](https://fiibrasil.com/fundo/KNSC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/KNSC11-KINEA-SECURITIES.jpg)</span>",KNSC11,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.864.448/0001-38
[LASC11](https://fiibrasil.com/fundo/LASC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LASC11.jpg)</span>",LASC11,LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.248.158/0001-46
[LATR11B](https://fiibrasil.com/fundo/LATR11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LATR11B.jpg)</span>",LATR11B,LATERES FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.209.378/0001-00
[LAVF11](https://fiibrasil.com/fundo/LAVF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LAVF11.jpg)</span>",LAVF11,LAVOURA FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.467.733/0001-40
[LFTT11](https://fiibrasil.com/fundo/LFTT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LFTT11.jpg)</span>",LFTT11,LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.796.967/0001-90
[LGCP11](https://fiibrasil.com/fundo/LGCP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LGCP11-LOGCP-INTER.jpg)</span>",LGCP11,LOGCP INTER FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.598.181/0001-11
[LIFE11](https://fiibrasil.com/fundo/LIFE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LIFE11.jpg)</span>",LIFE11,LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTOS IMOBILIÁRIO,39.753.295/0001-02
[LKDV11](https://fiibrasil.com/fundo/LKDV11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LKDV11.jpg)</span>",LKDV11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1,40.102.445/0001-05
[LLAO11](https://fiibrasil.com/fundo/LLAO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LLAO11.jpg)</span>",LLAO11,BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.218.404/0001-33
[LOFT11B](https://fiibrasil.com/fundo/LOFT11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LOFT11B.jpg)</span>",LOFT11B,LOFT I FUNDO DE INVESTIMENTO IMOBILIÁRIO,19.722.048/0001-31
[LPLP11](https://fiibrasil.com/fundo/LPLP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LPLP11.jpg)</span>",LPLP11,LAGO DA PEDRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.262.752/0001-30
[LRDI11](https://fiibrasil.com/fundo/LRDI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LRDI11.jpg)</span>",LRDI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO LEBLON REALTY DESENVOLVIMENTO I,41.088.534/0001-07
[LSPA11](https://fiibrasil.com/fundo/LSPA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LSPA11.jpg)</span>",LSPA11,LESTE RIVA EQUITY PREFERENCIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.847.293/0001-70
[LUGG11](https://fiibrasil.com/fundo/LUGG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LUGG11.jpg)</span>",LUGG11,LUGGO FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.835.191/0001-23
[LVBI11](https://fiibrasil.com/fundo/LVBI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/LVBI11-SDI-RIO-BRAVO-RENDA-LOGISTICA.jpg)</span>",LVBI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO,30.629.603/0001-18
[MALL11](https://fiibrasil.com/fundo/MALL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MALL11-MALLS-BRASIL-PLURAL.jpg)</span>",MALL11,MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.499.833/0001-32
[MANA11](https://fiibrasil.com/fundo/MANA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MANA11.jpg)</span>",MANA11,MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.888.583/0001-89
[MATV11](https://fiibrasil.com/fundo/MATV11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MATV11.jpg)</span>",MATV11,MORE GESTÃO ATIVA DE RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.678/0001-35
[MAXR11](https://fiibrasil.com/fundo/MAXR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MAXR11.jpg)</span>",MAXR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAX RETAIL,11.274.415/0001-70
[MCCI11](https://fiibrasil.com/fundo/MCCI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MCCI11-MAUA-CAPITAL-RECEBIVEIS.jpg)</span>",MCCI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS,23.648.935/0001-84
[MCHF11](https://fiibrasil.com/fundo/MCHF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MCHF11-MAUA-CAPOTAL-HEDGE.jpg)</span>",MCHF11,MAUÁ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.642.139/0001-86
[MCHY11](https://fiibrasil.com/fundo/MCHY11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MCHY11.jpg)</span>",MCHY11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ HIGH YIELD,36.655.973/0001-06
[MFAI11](https://fiibrasil.com/fundo/MFAI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MFAI11.jpg)</span>",MFAI11,MÉRITO FUNDOS E AÇÕES IMOBILIÁRIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.397.369/0001-76
[MFCR11](https://fiibrasil.com/fundo/MFCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MFCR11.jpg)</span>",MFCR11,MÉRITO RECEBÍVEIS IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,45.403.337/0001-88
[MFII11](https://fiibrasil.com/fundo/MFII11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MFII11-MERITO-DESENVOLVIMENTO-IMOBILIARIO.jpg)</span>",MFII11,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.915.968/0001-88
[MGCR11](https://fiibrasil.com/fundo/MGCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MGCR11.jpg)</span>",MGCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO CERTIFICADOS DE RECEBÍVEIS IMOBILIÁRIOS HIGH GRADE,35.652.204/0001-91
[MGFF11](https://fiibrasil.com/fundo/MGFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MGFF11-MOGNO-FUNDO-DE-FUNDOS.jpg)</span>",MGFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO FUNDO DE FUNDOS,29.216.463/0001-77
[MGHT11](https://fiibrasil.com/fundo/MGHT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MGHT11.jpg)</span>",MGHT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO HOTÉIS,34.197.776/0001-65
[MGRI11](https://fiibrasil.com/fundo/MGRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MGRI11.jpg)</span>",MGRI11,MOGNO RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.320.997/0001-44
[MINT11](https://fiibrasil.com/fundo/MINT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MINT11.jpg)</span>",MINT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MINT EDUCACIONAL,19.872.887/0001-36
[MMPD11](https://fiibrasil.com/fundo/MMPD11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MMPD11.jpg)</span>",MMPD11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL MPD DESENVOLVIMENTO RESIDENCIAL,41.080.968/0001-52
[MMVE11](https://fiibrasil.com/fundo/MMVE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MMVE11.jpg)</span>",MMVE11,MARESIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.251.337/0001-59
[MOFF11](https://fiibrasil.com/fundo/MOFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MOFF11.jpg)</span>",MOFF11,MULTIOFFICES 2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.508.219/0001-20
[MORC11](https://fiibrasil.com/fundo/MORC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MORC11.jpg)</span>",MORC11,MORE RECEBÍVEIS IMOBILIÁRIOS FII FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.102.474/0001-69
[MORE11](https://fiibrasil.com/fundo/MORE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MORE11-MORE-REAL-ESTATE.jpg)</span>",MORE11,MORE REAL ESTATE FOF FII FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.197.727/0001-22
[MTOF11](https://fiibrasil.com/fundo/MTOF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MTOF11.jpg)</span>",MTOF11,ALIANZA MULTIOFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,22.862.226/0001-34
[MVFI11](https://fiibrasil.com/fundo/MVFI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MVFI11.jpg)</span>",MVFI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MV9,23.537.203/0001-17
[MXRF11](https://fiibrasil.com/fundo/MXRF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/MXRF11-Maxi-Renda.jpg)</span>",MXRF11,MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,97.521.225/0001-25
[NAVT11](https://fiibrasil.com/fundo/NAVT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NAVT11.jpg)</span>",NAVT11,NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.252/0001-80
[NCHB11](https://fiibrasil.com/fundo/NCHB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NCHB11-NCH-BRASIL-RECEBIVEIS-IMOBILIARIOS.jpg)</span>",NCHB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,18.085.673/0001-57
[NCRI11](https://fiibrasil.com/fundo/NCRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NCRI11.jpg)</span>",NCRI11,NAVI CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.041.603/0001-56
[NEWL11](https://fiibrasil.com/fundo/NEWL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NEWL11.jpg)</span>",NEWL11,NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.527.626/0001-47
[NEWU11](https://fiibrasil.com/fundo/NEWU11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NEWU11.jpg)</span>",NEWU11,NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.793.782/0001-78
[NSLU11](https://fiibrasil.com/fundo/NSLU11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NSLU11.jpg)</span>",NSLU11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL NOSSA SENHORA DE LOURDES,08.014.513/0001-63
[NVHO11](https://fiibrasil.com/fundo/NVHO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NVHO11.jpg)</span>",NVHO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO NOVO HORIZONTE,17.025.970/0001-44
[NVIF11B](https://fiibrasil.com/fundo/NVIF11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/NVIF11B.jpg)</span>",NVIF11B,NOVA I FUNDO DE INVESTIMENTO IMOBILIÁRIO,22.003.469/0001-17
[OGHY11](https://fiibrasil.com/fundo/OGHY11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/OGHY11.jpg)</span>",OGHY11,ÓRAMA HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO,47.240.631/0001-41
[ONEF11](https://fiibrasil.com/fundo/ONEF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ONEF11.jpg)</span>",ONEF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,12.948.291/0001-23
[OUFF11](https://fiibrasil.com/fundo/OUFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/OUFF11-OUINVEST-FUNDO-DE-FUNDOS.jpg)</span>",OUFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST FUNDO DE FUNDOS,30.791.386/0001-68
[OUJP11](https://fiibrasil.com/fundo/OUJP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/OUJP11-OURINVEST-JPP.jpg)</span>",OUJP11,OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.091.656/0001-50
[OULG11](https://fiibrasil.com/fundo/OULG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/OULG11.jpg)</span>",OULG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,13.974.819/0001-00
[OURE11](https://fiibrasil.com/fundo/OURE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/OURE11.jpg)</span>",OURE11,FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST RENDA ESTRUTURADA,28.516.650/0001-03
[PABY11](https://fiibrasil.com/fundo/PABY11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PABY11.jpg)</span>",PABY11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,00.613.094/0001-74
[PATB11](https://fiibrasil.com/fundo/PATB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PATB11.jpg)</span>",PATB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PATEO BANDEIRANTES,14.788.492/0001-36
[PATC11](https://fiibrasil.com/fundo/PATC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PATC11.jpg)</span>",PATC11,PÁTRIA EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.048.651/0001-12
[PATL11](https://fiibrasil.com/fundo/PATL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PATL11-PATRIA-LOGISTICA.jpg)</span>",PATL11,PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.754.164/0001-99
[PBLV11](https://fiibrasil.com/fundo/PBLV11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PBLV11.jpg)</span>",PBLV11,PROLOGIS BRAZIL LOGISTICS VENTURE FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.962.875/0001-06
[PCAS11](https://fiibrasil.com/fundo/PCAS11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PCAS11.jpg)</span>",PCAS11,PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.514.406/0001-50
[PEMA11](https://fiibrasil.com/fundo/PEMA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PEMA11.jpg)</span>",PEMA11,PERFORMA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.736.510/0001-43
[PLCR11](https://fiibrasil.com/fundo/PLCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PLCR11-PLURAL-RECEBIVEIS.jpg)</span>",PLCR11,PLURAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.527.683/0001-26
[PLOG11](https://fiibrasil.com/fundo/PLOG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PLOG11.jpg)</span>",PLOG11,PLURAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.198/0001-34
[PLRI11](https://fiibrasil.com/fundo/PLRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PLRI11.jpg)</span>",PLRI11,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,14.080.689/0001-16
[PNDL11](https://fiibrasil.com/fundo/PNDL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PNDL11.jpg)</span>",PNDL11,PANORAMA DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.899.400/0001-90
[PNLN11](https://fiibrasil.com/fundo/PNLN11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PNLN11.jpg)</span>",PNLN11,PANORAMA LAST MILE SBC FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.887.170/0001-54
[PNPR11](https://fiibrasil.com/fundo/PNPR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/PNPR11.jpg)</span>",PNPR11,PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.813.118/0001-22
